data,fonte,categoria,titulo,link,resumo
2026-09-02,Simon Willison,analise,Claude's new system prompt really doesn't want to reproduce song lyrics,https://simonwillison.net/2026/Sep/2/claudes-new-system-prompt/,"Anthropic publish the system prompts for their Claude consumer applications ( Claude.ai and the Claude mobile apps - sadly not for Claude Cowork or Claude Code). I love that they do this, and that they share not just the current prompts but historic changes to their prompts as well. They used to keep all of the prompts on a single page, but when I checked today I noticed they had re-arranged those prompts into an index page and then a page per model - here's the page for Haiku 4.5 for example, which has the original prompt from October 15th 2025 and an updated prompt from January 18th 2026. A "
2026-09-02,Latent Space,analise,"[AINews] Claude Fable/Mythos 5.1: new SOTA model, 75% cache price cut but 70% more output tokens",https://www.latent.space/p/ainews-claude-fablemythos-51-new,Queue the usual rush of model launches...
2026-09-02,Simon Willison,analise,Quoting Rick Brewster,https://simonwillison.net/2026/Sep/2/rick-brewster/,"Direct2D has always been the biggest hurdle for Paint.NET on WINE, and it's clear that it will never be completed enough for Paint.NET's use. And I can't just ""disable"" the use of Direct2D. So, instead, Paint.NET now has an internal, from-scratch, clean-room reverse-engineered rewrite of Direct2D that it uses on WINE (triggered by using /wine ). It lives in PaintDotNet.Windows.Direct2D1.Managed.dll . This was written by our good friend Claude , without whom this would NOT have been possible and would NEVER have happened. [...] Most of this code is, as they say, ""vibe coded."" By that I mean tha"
2026-09-01,Simon Willison,analise,Claude Fable 5.1 made me a really nice animated pelican,https://simonwillison.net/2026/Sep/1/claude-fable-5-1/,"Today is Claude Fable (and Mythos) 5.1 day . Anthropic say that Fable 5.1 ""sets a new standard for coding, knowledge work, and long-running problem-solving tasks"". Their announcement spends a notable amount of time on scientific research, boasting of a 52.6% score on the brand new Terminal-Bench-Science 0.1 benchmark (first announced on August 27th ), up from 24.7% for Fable 5, 29.0% for Opus 5 and 22.4% for GPT-5.6 Sol. Other benchmarks show slightly improved scores, but none as impressive as the Science one. But how well can it pelican? Back in July I wrote about how I was losing faith in th"
2026-09-01,Hugging Face,lab,BenchMIRT: What are LLM benchmarks actually measuring?,https://huggingface.co/blog/allenai/benchmirt,
2026-09-01,Simon Willison,analise,Codex bundles LibreOffice,https://simonwillison.net/2026/Sep/1/codex-libreoffice/,"I was poking around in my ~/.cache/ folder using OmniDiskSweeper when I spotted something interesting. The OpenAI Codex desktop app (since rebranded to just ChatGPT) has 1.7GB of stuff in there in a folder called codex-primary-runtime , including a full Python installation, a full Node.js installation, and native binaries for Poppler , git, and the LibreOffice open source office suite (which forked from OpenOffice.org in 2010): The ~/.cache/codex-runtimes/codex-primary-runtime/plugins/openai-primary-runtime/plugins/documents folder includes skills which tell Codex how to find and use those bin"
2026-09-01,Simon Willison,analise,GeoJSON Map Viewer,https://simonwillison.net/2026/Sep/1/geojson/,Tool: GeoJSON Map Viewer I was helping Natalie gather some maps of local political boundaries (for the Granada Community Services District and the Midcoast Community Council ) and found a need to display some GeoJSON files on a map and export that as a PNG. I asked GPT-5.6-Sol for suggestions of tools and it proactively built one. After some iterations using Claude Code for web and Fable 5.1 we got to this finished tool. As for the GeoJSON.. it turns out if you ask ChatGPT Work to provide boundaries for almost anything it will churn away extracting and combining files from different Government
2026-09-01,arXiv cs.CL,paper,Beyond Scores: Understanding LLM-as-a-Judge Mechanisms in Summarization Evaluation,https://arxiv.org/abs/2609.01604v1,"LLM-based evaluators of natural language generation (NLG) quality are widely deployed as scoring tools and as automated training signals, yet the internal procedure by which they assign a rating remains poorly understood. We investigate this procedure mechanistically through an eight-attack perturbation taxonomy across the Readability and Adequacy dimensions of NLG quality, a generation pipeline that produces paired clean and corrupt summaries with controlled error intensity and explicit token-level modification maps, and a four-experiment battery of causal tracing, logit-lens vocabulary proje"
2026-09-01,arXiv cs.AI,paper,Efficient SWE Agent Benchmarking via Trajectory-Aware Evaluation,https://arxiv.org/abs/2609.01603v1,"Evaluating software engineering agents on realistic benchmarks is costly, since each task may require multi-step code exploration, modification, and test execution. Existing efficient evaluation methods select representative subsets to estimate full-benchmark performance, but are largely result-only: they fit historical pass/fail response matrices or static task semantics, discarding how agents solve problems. We propose PTA-IRT, a Privileged Trajectory-Aware Item Response Theory framework that fuses process and outcome signals. Historical execution trajectories supply process-level evidence b"
2026-09-01,arXiv cs.AI,paper,Adaptive Critical Token-Aware Retrieval for Repository-Level Code Generation,https://arxiv.org/abs/2609.01601v1,"The repository-level code generation task requires synthesizing code that satisfies task requirements while remaining consistent with the target repository context. Since real-world repositories often exceed the input length limits of LLMs, existing approaches commonly adopt retrieval-augmented generation (RAG) to provide repository-specific context. Despite improving repository-context retrieval, existing methods typically provide context as task-level support, without explicitly identifying the critical tokens that require fine-grained repository context during generation. During the autoreg"
