id,tema,afirmacao,numero,fonte,url,data_fonte,confianca,uso_sugerido
F001,adocao,Organizacoes que usam IA em ao menos uma funcao de negocio,88%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,"Abertura de proposta, slide de contexto"
F002,adocao,Organizacoes que usam IA generativa em ao menos uma funcao,70%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Contexto de mercado
F003,adocao,"Adocao populacional de IA generativa em tres anos, mais rapido que PC e internet",53%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,"Post de LinkedIn, abertura de palestra"
F004,adocao,Universitarios que usam IA generativa,4 em 5,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Conteudo sobre futuro do trabalho
F005,adocao,Implantacao de agentes segue em um digito em quase toda funcao de negocio,<10%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,"Contraste com adocao geral, tese central"
F006,capacidade,SWE-bench Verified subiu de 60% para perto de 100% da baseline humana em um ano,60% a ~100%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Argumento de ritmo de evolucao
F007,capacidade,"Agentes de IA em tarefas reais de computador, taxa de sucesso",12% para ~66%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Justificar investimento em agentes agora
F008,capacidade,Industria produziu a maioria dos modelos de fronteira notaveis de 2025,>90%,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Contexto sobre onde a pesquisa acontece
F009,investimento,Investimento privado dos EUA em IA em 2025,"US$ 285,9 bi",Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Slide de tamanho de mercado
F010,investimento,"Investimento privado da China em IA em 2025, mais de 23x menor que o dos EUA","US$ 12,4 bi",Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Contexto geopolitico
F011,investimento,Novas empresas de IA financiadas nos EUA em 2025,1.953,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Contexto competitivo
F012,valor,Valor anual estimado de ferramentas gen AI para o consumidor americano,US$ 172 bi,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Argumento de valor economico
F013,valor,Valor mediano por usuario de gen AI entre 2025 e 2026,triplicou,Stanford HAI AI Index Report 2026,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-03,A,Argumento de valor economico
F014,mercado,"Gasto empresarial com APIs de LLM, de US$ 3,5 bi no fim de 2024","US$ 8,4 bi",Menlo Ventures State of Generative AI,https://menlovc.com,2025-2026,B,Slide de tamanho de mercado
F015,mercado,"Share da Anthropic em API empresarial de LLM, contra 12% em 2023",40%,Menlo Ventures State of Generative AI,https://menlovc.com,2026,B,Conversa com comprador tecnico
F016,mercado,"Share da Open AI em API empresarial de LLM, contra 50% em 2023",27%,Menlo Ventures State of Generative AI,https://menlovc.com,2026,B,Conversa com comprador tecnico
F017,mercado,Share da Anthropic no mercado de coding empresarial,~54%,Menlo Ventures,https://menlovc.com,2026-06,B,Justificar escolha de stack
F018,roi,Pilotos de IA generativa que nao entregam ROI mensuravel,95%,"MIT, GenAI Divide",https://www.healthcareitnews.com/news/mit-95-enterprise-ai-pilots-fail-deliver-measurable-roi,2025-2026,B,Abertura de diagnostico. Citar sempre a metodologia
F019,roi,Base do estudo do MIT sobre ROI de pilotos,"52 entrevistas, 153 lideres, 300 implantacoes","MIT, GenAI Divide",https://www.healthcareitnews.com/news/mit-95-enterprise-ai-pilots-fail-deliver-measurable-roi,2025-2026,B,Acompanha sempre o F018
